Hotel ID,Price,Suggest Selling Price,Checkin,Checkout,Nights,Price per Night,Adults,Children,Median Price per Night,% Off from Median,Total Median Price,Resort,Stars,Distance,Xeni Link,Hotel Name,Amenities,Image URL,URL,Pass
lp3b340,"$1,123.65 ","$1,161.81 ",2/2/2026,2/7/2026,5,$224.73 ,2,0,$263.38 ,14.67%,1316.875,Banff Sunshine,0,Shuttle,0,Moxy Banff,"Restaurant, Pets allowed, Hot tub/Jacuzzi",https://static.cupid.travel/hotels/560792470.jpg,https://booking.skizi.co/hotels/lp3b340?checkin=2026-02-02&checkout=2026-02-07,"Mountain Collective, IKON"
lp35788,"$1,209.33 ","$1,232.15 ",3/26/2026,3/30/2026,4,$302.33 ,2,0,$354.27 ,14.66%,1417.08,Whistler Blackcomb,3,5-10 min walk,0,Whistler Cascade Lodge,Ski storage,https://static.cupid.travel/hotels/ex_caac27a8_z.jpg,https://booking.skizi.co/hotels/lp35788?checkin=2026-03-26&checkout=2026-03-30,EPIC
lp72f0d,"$1,749.18 ","$1,773.93 ",2/3/2026,2/8/2026,5,$349.84 ,2,0,$409.51 ,14.57%,2047.55,Breckenridge Ski Resort,3,5-10 min walk,0,Der Steiermark,Spa,https://static.cupid.travel/hotels/hd/ex_9b2533d7_z.jpg,https://booking.skizi.co/hotels/lp72f0d?checkin=2026-02-03&checkout=2026-02-08,EPIC
lp655852ef,"$4,213.50 ","$5,211.22 ",2/1/2026,2/5/2026,4,"$1,053.38 ",2,0,"$1,232.65 ",14.54%,4930.6,Telluride Ski Resort,4,5-10min walk,0,"Riverside Condos B204 by Avantstay Condo Close To Downtown, Town Park & Ski Lift #8",0,https://static.cupid.travel/hotels/ex_1ac74290_z.jpg,https://booking.skizi.co/hotels/lp655852ef?checkin=2026-02-01&checkout=2026-02-05,EPIC
lp65584fb3,"$6,069.87 ","$7,908.02 ",3/23/2026,3/27/2026,4,"$1,517.47 ",2,0,"$1,771.56 ",14.34%,7086.24,Telluride Ski Resort,4,Ski in/Ski out,0,Apex by Avantstay Cozy Expansive Mountain Home Close to the Slopes w/ Hot Tub!,0,https://static.cupid.travel/hotels/ex_31aa49ec_z.jpg,https://booking.skizi.co/hotels/lp65584fb3?checkin=2026-03-23&checkout=2026-03-27,EPIC
lp656dc15e,"$2,620.94 ","$2,843.48 ",3/27/2026,3/31/2026,4,$655.24 ,2,0,$764.73 ,14.32%,3058.9,Deer Valley Resort,4,Slopeside,0,Grand Hyatt Deer Valley,0,https://static.cupid.travel/hotels/ex_d24d7f4c_z.jpg,https://booking.skizi.co/hotels/lp656dc15e?checkin=2026-03-27&checkout=2026-03-31,IKON
lp42eca,"$1,268.07 ","$1,483.41 ",2/1/2026,2/5/2026,4,$317.02 ,2,0,$369.60 ,14.23%,1478.4,Mammoth Mountain,4,5-10 min walk,0,The Village Lodge,"Restaurant, Hot tub/Jacuzzi, Massage, Ski storage",https://static.cupid.travel/hotels/39769104.jpg,https://booking.skizi.co/hotels/lp42eca?checkin=2026-02-01&checkout=2026-02-05,IKON
lp3e910,"$2,344.32 ","$2,888.38 ",2/3/2026,2/8/2026,5,$468.86 ,2,0,$546.54 ,14.21%,2732.675,Breckenridge Ski Resort,4,5-10 min walk,0,Los Pinos by Breckenridge Resort Managers,0,https://static.cupid.travel/hotels/ex_163e269b_z.jpg,https://booking.skizi.co/hotels/lp3e910?checkin=2026-02-03&checkout=2026-02-08,EPIC
lp361ff,"$1,898.43 ","$1,850.08 ",3/27/2026,3/31/2026,4,$474.61 ,2,0,$553.21 ,14.21%,2212.84,Big Sky Resort,3,Slopeside,0,Huntley Lodge at Big Sky Resort,"Restaurant, Pets allowed, Hot tub/Jacuzzi, Massage, Ski storage",https://static.cupid.travel/hotels/21020572.jpg,https://booking.skizi.co/hotels/lp361ff?checkin=2026-03-27&checkout=2026-03-31,"Mountain Collective, IKON"
lp3582e,"$1,395.24 ","$1,886.22 ",2/22/2026,2/27/2026,5,$279.05 ,2,0,$324.67 ,14.05%,1623.325,Breckenridge Ski Resort,0,5-10 min walk,0,River Mountain Lodge by TO,"Bar, Hot tub/Jacuzzi",https://snaphotelapi.com/hotels/384854856.jpg,https://booking.skizi.co/hotels/lp3582e?checkin=2026-02-22&checkout=2026-02-27,EPIC
